Date,Bitcoin Price Percentage Change (%),Bitcoin Price (USD)
2017-04-08,-0.7956448911222781,1184.5
2017-04-09,2.2346981848881406,1210.97
2017-04-10,-0.08010107599693034,1210.0
2017-04-11,1.1561983471074389,1223.99
2017-04-12,-0.802294136389998,1214.17
2017-04-13,-3.0572325127453417,1177.05
2017-04-14,-0.2812115033346031,1173.74
2017-04-15,0.43536047165470204,1178.85
2017-04-16,-0.07295245366245919,1177.99
2017-04-17,1.0118931400096838,1189.91
2017-04-18,1.011000831995695,1201.94
2017-04-19,1.0208496264372582,1214.21
2017-04-20,1.8069361971981828,1236.15
2017-04-21,1.1196052259029987,1249.99
2017-04-22,-0.23920191361530965,1247.0
2017-04-23,0.39935846030473277,1251.98
2017-04-24,0.42412818096135285,1257.29
2017-04-25,1.8985277859523353,1281.16
2017-04-26,1.348777670236346,1298.44
2017-04-27,3.913927482209415,1349.26
2017-04-28,0.3023879756310813,1353.34
2017-04-29,0.8933453529785677,1365.43
2017-04-30,1.4002914832689988,1384.55
2017-05-01,3.752121627965768,1436.5
2017-05-02,2.470588235294118,1471.99
2017-05-03,4.144729244084537,1533.0
2017-05-04,1.982387475538167,1563.39
2017-05-05,-0.7733195172030105,1551.3
2017-05-06,2.1975117643267033,1585.39
2017-05-07,1.5251767703845638,1609.57
2017-05-08,6.425939847288411,1713.0
2017-05-09,0.4337419731465303,1720.43
2017-05-10,4.333800270862514,1794.99
2017-05-11,2.392213884199915,1837.93
2017-05-12,-7.743494039490087,1695.61
2017-05-13,5.727732202570174,1792.73
2017-05-14,0.4049689579579742,1799.99
2017-05-15,-2.8989049939166365,1747.81
2017-05-16,1.6975529376762963,1777.48
2017-05-17,2.011274388460067,1813.23
2017-05-18,4.739056821252685,1899.16
2017-05-19,4.058109901219483,1976.23
2017-05-20,4.1837235544445655,2058.91
2017-05-21,-0.09276753233506344,2057.0
2017-05-22,3.2226543509965957,2123.29
2017-05-23,7.039076150690675,2272.75
2017-05-24,7.049609503904952,2432.97
2017-05-25,-3.204725089088637,2355.0
2017-05-26,-3.494692144373681,2272.7
2017-05-27,-7.599331191974305,2099.99
2017-05-28,6.323363444587852,2232.78
2017-05-29,2.0915629842617642,2279.48
2017-05-30,-3.8561426290206575,2191.58
2017-05-31,5.097235784228732,2303.29
2017-06-01,5.066665508902475,2419.99
2017-06-02,2.4380266034157168,2478.99
2017-06-03,2.785811963743315,2548.05
2017-06-04,-1.0474676713565296,2521.36
2017-06-05,7.005742932385692,2698.0
2017-06-06,6.422905856189769,2871.29
2017-06-07,-6.465734913575434,2685.64
2017-06-08,4.24814941689877,2799.73
2017-06-09,0.41646873091333286,2811.39
2017-06-10,4.259814540138516,2931.15
2017-06-11,2.3141087968885907,2998.98
2017-06-12,-11.446225049850282,2655.71
2017-06-13,2.0069962458250403,2709.01
2017-06-14,-10.217754825563588,2432.21
2017-06-15,-0.9139835787205881,2409.98
2017-06-16,2.923260773948324,2480.43
2017-06-17,6.22916187919031,2634.94
2017-06-18,-4.542418423189904,2515.25
2017-06-19,3.249378789384753,2596.98
2017-06-20,4.932652542568673,2725.08
2017-06-21,-2.999178005783317,2643.35
2017-06-22,1.3861198857510308,2679.99
2017-06-23,0.4018671711461773,2690.76
2017-06-24,-4.308076528564423,2574.84
2017-06-25,-2.68871075484302,2505.61
2017-06-26,-3.8992500828141754,2407.91
2017-06-27,6.970360187880782,2575.75
2017-06-28,-0.8785790546442827,2553.12
2017-06-29,-0.9055586889766204,2530.0
2017-06-30,-2.9569169960474286,2455.19
2017-07-01,-1.2854402306949744,2423.63
2017-07-02,3.838457190247676,2516.66
2017-07-03,1.0231815183616382,2542.41
2017-07-04,2.3438391132822853,2602.0
2017-07-05,0.574942352036896,2616.96
2017-07-06,-0.46313279530447127,2604.84
2017-07-07,-3.9806667588028457,2501.15
2017-07-08,2.397297243268098,2561.11
2017-07-09,-2.0350551128221883,2508.99
2017-07-10,-7.092096819835855,2331.05
2017-07-11,-0.902597541880267,2310.01
2017-07-12,3.1779083207431937,2383.42
2017-07-13,-1.8217519362932286,2340.0
2017-07-14,-5.246153846153855,2217.24
2017-07-15,-11.407425447854083,1964.31
2017-07-16,-2.6742214823525803,1911.78
2017-07-17,16.91669543566729,2235.19
2017-07-18,3.2641520407661107,2308.15
2017-07-19,-2.1298442475575814,2258.99
2017-07-20,27.201979645770912,2873.48
2017-07-21,-7.518061723067507,2657.45
2017-07-22,6.315076483094703,2825.27
2017-07-23,-2.5126802040158918,2754.28
2017-07-24,0.2897308915578669,2762.26
2017-07-25,-7.177456140986012,2564.0
2017-07-26,-1.4824492979719275,2525.99
2017-07-27,5.502792964342694,2664.99
2017-07-28,4.543356635484576,2786.07
2017-07-29,-3.0817603290656774,2700.21
2017-07-30,0.8806722440106416,2723.99
2017-07-31,4.87850542769982,2856.88
2017-08-01,-4.350550250623056,2732.59
2017-08-02,-1.1963009452570659,2699.9
2017-08-03,3.2267861772658204,2787.02
2017-08-04,2.52312505830601,2857.34
2017-08-05,13.514317512091653,3243.49
2017-08-06,-0.6557751064439842,3222.22
2017-08-07,5.462383077505577,3398.23
2017-08-08,0.712135435211855,3422.43
2017-08-09,-2.3267093848522733,3342.8
2017-08-10,3.056718918272102,3444.98
2017-08-11,6.12978885218492,3656.15
2017-08-12,5.958453564541934,3874.0
2017-08-13,4.8133711925658185,4060.47
2017-08-14,6.406401229414343,4320.6
2017-08-15,-3.7186964773411115,4159.93
2017-08-16,5.050084977391444,4370.01
2017-08-17,-2.0594918547097145,4280.01
2017-08-18,-4.165644472793287,4101.72
2017-08-19,1.3577231015281295,4157.41
2017-08-20,-2.559766777873726,4050.99
2017-08-21,-1.2093340146482658,4002.0
2017-08-22,2.2488755622188905,4092.0
2017-08-23,1.2583088954056643,4143.49
2017-08-24,4.067585537795432,4312.03
2017-08-25,1.1124690690927534,4360.0
2017-08-26,-0.35963302752294246,4344.32
2017-08-27,-0.09690814672952353,4340.11
2017-08-28,1.0340751732098983,4384.99
2017-08-29,4.880512840394168,4599.0
2017-08-30,-0.37008045227224257,4581.98
2017-08-31,3.534716432633928,4743.94
2017-09-01,4.301276997601154,4947.99
2017-09-02,-6.022647580128497,4649.99
2017-09-03,-0.5148398168598126,4626.05
2017-09-04,-2.7626160547335235,4498.25
2017-09-05,-1.4614572333685274,4432.51
2017-09-06,4.143701875461083,4616.18
2017-09-07,0.17330346736912336,4624.18
2017-09-08,-5.929267459311711,4350.0
2017-09-09,-0.359540229885065,4334.36
2017-09-10,-1.9149309240579928,4251.36
2017-09-11,-0.955929396710686,4210.72
2017-09-12,-1.0971995288216698,4164.52
2017-09-13,-7.424625166885986,3855.32
2017-09-14,-15.690526337632157,3250.4
2017-09-15,15.063376815161208,3740.02
2017-09-16,-0.3612280148234438,3726.51
2017-09-17,-0.1754993277892832,3719.97
2017-09-18,10.215942601687654,4100.0
2017-09-19,-4.631463414634143,3910.11
2017-09-20,-0.9731184033185813,3872.06
2017-09-21,-6.575053072524706,3617.47
2017-09-22,0.04257118925659144,3619.01
2017-09-23,4.650995714297548,3787.33
2017-09-24,-3.1241006196977743,3669.01
2017-09-25,6.83481375084832,3919.78
2017-09-26,-0.8849986478833008,3885.09
2017-09-27,8.10560373118769,4200.0
2017-09-28,-0.2519047619047602,4189.42
2017-09-29,-0.7740928338529031,4156.99
2017-09-30,4.378408415704637,4339.0
2017-10-01,1.286241069370832,4394.81
2017-10-02,-0.047783635697569715,4392.71
2017-10-03,-1.9286499677875446,4307.99
2017-10-04,-2.1622612865860793,4214.84
2017-10-05,2.4959429064922944,4320.04
2017-10-06,0.9942037573726127,4362.99
2017-10-07,1.4212730260669912,4425.0
2017-10-08,4.033672316384176,4603.49
2017-10-09,3.6072631851052224,4769.55
2017-10-10,-0.4098919185248122,4750.0
2017-10-11,1.3682105263157849,4814.99
2017-10-12,12.98050463240838,5440.0
2017-10-13,3.397058823529415,5624.8
2017-10-14,3.454878395676289,5819.13
2017-10-15,-2.1554768496321666,5693.7
2017-10-16,1.0748722271984794,5754.9
2017-10-17,-2.795878295018152,5594.0
2017-10-18,-0.3496603503754094,5574.44
2017-10-19,2.324359038755474,5704.01
2017-10-20,4.998062766369626,5989.1
2017-10-21,0.5970847038787014,6024.86
2017-10-22,-0.32880432076429145,6005.05
2017-10-23,-1.649611576922763,5905.99
2017-10-24,-6.443627571330116,5525.43
2017-10-25,3.8827747342740735,5739.97
2017-10-26,2.6418256541410394,5891.61
2017-10-27,-1.8943888003448917,5780.0
2017-10-28,-0.484256055363318,5752.01
2017-10-29,6.745468105931665,6140.01
2017-10-30,-0.2581429020473967,6124.16
2017-10-31,5.239085850141087,6445.01
2017-11-01,5.25491814597649,6783.69
2017-11-02,3.7780323098490642,7039.98
2017-11-03,1.8470222926769773,7170.01
2017-11-04,3.382701000417014,7412.55
2017-11-05,-0.2772325313151369,7392.0
2017-11-06,-5.712121212121209,6969.76
2017-11-07,2.2507231238952254,7126.63
2017-11-08,4.789500787889927,7467.96
2017-11-09,-4.177312144146461,7156.0
2017-11-10,-8.08244829513695,6577.62
2017-11-11,-3.510692317281936,6346.7
2017-11-12,-7.253375770085232,5886.35
2017-11-13,11.034342164499215,6535.87
2017-11-14,1.0577015760717412,6605.0
2017-11-15,10.431491294473885,7294.0
2017-11-16,7.465451055662184,7838.53
2017-11-17,-1.5796329158655986,7714.71
2017-11-18,0.8075481774428356,7777.01
2017-11-19,3.2764520040478216,8031.82
2017-11-20,2.7912727127849046,8256.01
2017-11-21,-1.7806422230593255,8109.0
2017-11-22,1.7388087310395854,8250.0
2017-11-23,-2.6526060606060624,8031.16
2017-11-24,2.289208532764885,8215.01
2017-11-25,7.066211727070323,8795.5
2017-11-26,6.885452788357689,9401.11
2017-11-27,3.910176564256758,9768.71
2017-11-28,1.8455865718196252,9949.0
2017-11-29,-0.13086742386169903,9935.98
2017-11-30,-0.3319249837459371,9903.0
2017-12-01,9.763102090275675,10869.84
2017-12-02,0.5556659527647108,10930.24
